Level,Date and Time,Source,Event ID,Task Category,Log,Computer
Error,10/6/2017 8:30:43 AM,Application Error,1000,(100),Application,djkvdihost608.jakarta01.com,"Faulting application name: iexplore.exe, version: 11.0.9600.18639, time stamp: 0x58d6bb0d
Faulting module name: unknown, version: 0.0.0.0, time stamp: 0x00000000
Exception code: 0xc0000005
Fault offset: 0x7ff2c31b
Faulting process id: 0x1ad0
Faulting application start time: 0x01d33e3e8ba385a8
Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe
Faulting module path: unknown
Report Id: f798e952-aa35-11e7-89e3-0050569f0de5"
Error,10/6/2017 8:30:43 AM,EventCreate,1,None,Application,djkvdihost429.jakarta01.com,JAKARTA01\boby  
Error,10/6/2017 8:30:33 AM,EventCreate,1,None,Application,djkvdihost214.jakarta01.com,JAKARTA01\nyimas  
Error,10/6/2017 8:30:26 AM,EventCreate,1,None,Application,djkvdihost160.jakarta01.com,JAKARTA01\tasin  
Error,10/6/2017 8:30:26 AM,EventCreate,1,None,Application,djkvdihost209.jakarta01.com,JAKARTA01\vita  
Error,10/6/2017 8:30:05 AM,EventCreate,1,None,Application,djkvdihost529.jakarta01.com,JAKARTA01\amelinda  
Error,10/6/2017 8:29:43 AM,EventCreate,1,None,Application,djkvdihost440.jakarta01.com,JAKARTA01\abdulas  
Error,10/6/2017 8:29:42 AM,EventCreate,1,None,Application,djkvdihost748.jakarta01.com,JAKARTA01\MFIRMAN  
Error,10/6/2017 8:29:22 AM,EventCreate,1,None,Application,djkvdihost365.jakarta01.com,JAKARTA01\guestisd25  
Error,10/6/2017 8:29:13 AM,EventCreate,1,None,Application,djkvdihost093.jakarta01.com,JAKARTA01\guestisd34  
Error,10/6/2017 8:29:04 AM,EventCreate,1,None,Application,djkvdihost254.jakarta01.com,JAKARTA01\taty  
Error,10/6/2017 8:28:37 AM,EventCreate,1,None,Application,djkvdihost687.jakarta01.com,JAKARTA01\Linda Marshelia  
Error,10/6/2017 8:28:33 AM,EventCreate,1,None,Application,djkvdihost588.jakarta01.com,JAKARTA01\panji ndaru  
Error,10/6/2017 8:27:54 AM,EventCreate,1,None,Application,djkvdihost131.jakarta01.com,JAKARTA01\titis  
Error,10/6/2017 8:27:52 AM,EventCreate,1,None,Application,djkvdihost131.jakarta01.com,JAKARTA01\titis  
Error,10/6/2017 8:28:19 AM,EventCreate,1,None,Application,djkvdihost590.jakarta01.com,JAKARTA01\ramantid  
Error,10/6/2017 8:28:16 AM,EventCreate,1,None,Application,djkvdihost605.jakarta01.com,JAKARTA01\anderson  
Error,10/6/2017 8:28:10 AM,EventCreate,1,None,Application,djkvdihost579.jakarta01.com,JAKARTA01\Rosulla  
Error,10/6/2017 8:27:49 AM,EventCreate,1,None,Application,djkvdihost687.jakarta01.com,JAKARTA01\Linda Marshelia  
